局数,龙,和,虎,赢,下注(龙),下注(虎)
342,1341000,0,28000,龙,0,24000
343,52500,100,14000,虎,0,12000
344,402600,1000,21300,虎,0,18000
345,503900,0,8000,虎,0,6000
346,1732000,1000,23000,龙,0,18000
347,4000,0,1100,虎,0,0
348,301000,0,13200,龙,0,12000
349,26600,100,651000,龙,24000,0
350,39500,2000,1033000,龙,18000,0
351,25000,2600,2020000,龙,18000,0
352,7000,900,3800,虎,0,2000
353,8000,1500,2000,龙,0,2000
354,4400,100,2000,龙,0,1000
355,10000,4000,1000,虎,0,0
356,22000,2000,21000,龙,3000,0
357,12000,500,11000,龙,0,0
358,7000,0,401000,龙,6000,0
359,25000,0,1601000,龙,24000,0
360,7000,0,641000,虎,6000,0
361,13000,0,281000,虎,12000,0
362,7000,0,211000,龙,6000,0
363,304000,400,7000,龙,0,6000
364,201000,100,9300,虎,0,6000
365,26200,0,206400,虎,24000,0
366,201000,0,14500,虎,0,12000
367,401300,0,9000,龙,0,6000
368,7000,0,201000,和,6000,0
369,301000,0,7000,龙,0,6000
370,201000,0,7000,虎,0,6000
371,12000,0,501300,虎,12000,0
372,301000,0,7000,龙,0,6000
373,201000,0,101000,和,0,0
374,301000,0,13000,虎,0,12000
375,1400,0,1000,龙,0,0
376,1100,0,1000,龙,0,0
377,20000,0,111300,龙,18000,0
378,9000,0,701600,虎,6000,0
379,19000,1000,220000,和,12000,0
380,201300,500,7000,虎,0,6000
381,1000,0,3000,虎,0,0
382,2800,0,4200,虎,1000,0
383,6300,300,6000,龙,1000,0
384,1300,100,1000,虎,0,0
385,1000,0,1300,龙,0,0
386,1000,0,1000,和,0,0
387,1000,0,1000,龙,0,0
388,1000,0,1000,龙,0,0
389,7000,0,201000,虎,6000,0
390,201000,0,19000,龙,0,18000
391,2000,100000,3900,龙,1000,0
392,25000,0,307700,虎,24000,0
393,25000,0,201000,虎,24000,0
394,309100,0,22000,龙,0,21000
395,1000,201200,1000,龙,0,0
396,5700,0,13000,虎,0,2000
397,10000,200,202500,虎,12000,0
398,201000,0,25000,龙,0,24000
399,211000,0,13000,虎,0,12000
400,421000,0,25600,虎,0,24000
401,612700,0,25500,龙,0,24000
402,23300,0,13100,龙,0,12000
403,1001100,100,208400,龙,0,6000
404,7200,0,503000,龙,6000,0
405,7000,0,501300,和,6000,0
406,13000,0,261100,龙,12000,0
407,2000,0,1000,虎,0,0
408,1000,0,2000,虎,0,0
409,3000,0,1000,虎,0,0
410,1000,0,1000,龙,0,0
411,2000,0,1000,龙,0,0
412,3300,0,1600,龙,0,0
413,2400,0,1400,虎,0,0
414,1100,0,1800,虎,0,0
415,2500,0,1000,龙,0,0
416,8000,0,4000,龙,0,3000
417,2000,0,4800,和,1000,0
