局数,龙,和,虎,赢,下注(龙),下注(虎)
261,1600,100,2900,龙,0,0
262,0,1500,100,龙,0,0
263,1100,0,3900,龙,0,0
264,1000,100,300,虎,0,0
265,1000,100,200,龙,0,0
266,13400,700,3100,虎,0,0
267,800,0,100,龙,0,0
268,1400,100,200,虎,0,0
269,100,100,900,龙,0,0
270,0,0,1200,虎,0,0
271,1900,2600,100,虎,0,0
272,200,1200,1300,虎,0,0
273,2000,200,3000,龙,0,0
274,4800,100,5000,和,0,0
275,5600,100,100,和,0,0
276,500,2200,0,虎,0,0
277,6300,0,1500,龙,0,0
278,49400,100,0,虎,0,0
279,3000,1100,100,虎,0,0
280,5100,100,1700,虎,0,0
281,11500,0,44000,龙,0,0
282,2500,100,1400,和,0,0
283,300,500,100,龙,0,0
284,4000,0,6200,龙,0,0
285,1300,1100,4400,虎,0,0
286,400,1000,7100,和,0,0
287,200,0,500,虎,0,0
288,800,1100,700,龙,0,0
289,1200,100,900,龙,0,0
290,1400,600,100,龙,0,0
291,1000,0,600,虎,0,0
292,1000,200,1000,龙,0,0
293,1200,2300,12000,虎,0,0
294,3600,3100,15200,虎,0,0
295,4500,0,8100,虎,0,0
296,27000,2100,100,龙,0,0
297,10200,2100,14200,龙,0,0
298,17000,5000,47400,龙,0,0
299,600,0,10100,虎,0,0
300,7400,5500,12000,龙,0,0
301,7100,3900,4200,虎,0,0
302,3400,3900,400,虎,0,0
303,300,1000,1200,龙,0,0
304,5200,1100,700,龙,0,0
305,100,0,1000,虎,0,0
306,300,0,1200,虎,0,0
307,1600,100,1400,龙,0,0
308,1700,0,1600,和,0,0
309,1000,0,1100,龙,0,0
310,1000,0,700,虎,0,0
311,0,0,1600,虎,0,0
312,500,0,2500,虎,0,0
313,3400,0,0,虎,0,0
314,1300,0,0,龙,0,0
315,2000,100,2900,龙,0,0
316,6500,100,9900,虎,0,0
317,100,100,200,龙,0,0
318,1100,0,100,龙,0,0
319,2200,0,1200,龙,0,0
320,0,0,4500,虎,0,0
321,100,0,0,龙,0,0
322,2100,0,0,虎,0,0
323,100,0,6600,虎,0,0
324,2800,0,0,虎,0,0
325,11100,100,1000,龙,0,0
326,0,0,10100,龙,0,0
327,1800,200,11200,虎,0,0
328,61900,0,264400,虎,0,0
329,70800,1000,72700,龙,0,0
330,1202000,0,539600,虎,0,0
331,1100,11500,50500,龙,0,0
332,110200,11000,43700,龙,0,0
333,380000,22100,722100,虎,0,0
334,160200,30100,131500,虎,0,0
335,100500,1100,158600,虎,0,0
336,71400,23900,81000,龙,0,0
337,105100,900,203100,虎,0,0
338,391000,27000,222000,龙,0,0
339,230400,0,173100,虎,0,0
340,62000,0,140300,虎,0,0
341,40000,0,4200,龙,0,0
342,84300,1000,41100,龙,0,0
343,60000,0,38000,虎,0,0
344,804000,0,7200000,虎,0,0
345,100900,0,201000,龙,0,0
346,4800,0,900,虎,0,0
347,100,0,100,虎,0,0
348,800,0,2500,和,0,0
349,700,1000,700,龙,0,0
350,1001400,0,200,龙,0,0
351,400000,0,102200,龙,0,0
352,0,0,100,虎,0,0
353,10000,1000,1011200,龙,0,0
354,800500,0,4000000,龙,0,0
355,10000200,0,101200,虎,0,0
356,400,0,2400,虎,0,0
357,300,0,4500,龙,0,0
358,500,0,2400,虎,0,0
359,1200,0,1600,龙,0,0
360,400,0,5100,龙,0,0
361,1400,0,1500,虎,0,0
362,600,0,3100,虎,0,0
363,4200,0,0,龙,0,0
364,3200,100,700,龙,0,0
365,1000,0,2805700,虎,0,0
366,300,0,5100,龙,0,0
367,12900,1300,10500,龙,0,0
368,501400,0,104900,虎,0,0
369,600,0,2800,虎,0,0
370,3100,0,1000,龙,0,0
371,5003100,0,1600,虎,0,0
372,4900,0,2900,龙,0,0
373,2800,0,4300,龙,0,0
374,600,100,5400,龙,0,0
375,1000,0,15600,虎,0,0
376,600,0,4900,虎,0,0
377,5800,0,1100,龙,0,0
378,6200,0,600,龙,0,0
379,700,0,5300,龙,0,0
380,8500,0,2500,龙,0,0
381,7400,0,1200,虎,0,0
382,800,100,8800,龙,0,0
